,id,name,topLevelFacilityName,topLevelFacilityDescription,facilityName,facilityDescription,machineName,machineDescription,componentName,componentDescription,uom,position,placement,channelName,channelNumber,deviceName,deviceType
0,2a001ed5-1f77-4717-8cab-4f1f27a3021e,Acc. FFT RMS (10  - 10 KHz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g RMS,NDE,Horizontal,Ch01 10 KHz Acceleration,1,*Bridle5,uBridge
1,929c6896-9955-48a3-bd81-a548a9b18573,Temperatuur,KBW,,Bridle 5,,Bridle 5.1,,Motor,,V,,,,,,Manual
2,9067c716-6474-477d-bf5e-1d70d8083831,FFT Ovr (1  to 10 KHz) g PS (W:2.5 A:3.5),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g RMS,DE,Horizontal,Ch02 10 KHz Acceleration,2,*Bridle5,uBridge
3,8ca34a24-abbd-4d6d-9fdd-6263db6b6842,Mag (W:1.1 A:1.3),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g pk,DE,Horizontal,Ch02 10 KHz Acceleration,2,*Bridle5,uBridge
4,01b36238-d379-44df-b595-cbc5c7058c8b,RMS (W:3 A:3.5),KBW,,Bridle 5,,Bridle 5.1,,Motor,, RMS,DE,Horizontal,Ch02 10 KHz Acceleration,2,*Bridle5,uBridge
5,38b1779f-e889-4b74-a86f-e5653c19c733,Mag (W:0.8 A:0.9),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g pk,NDE,Horizontal,Ch01 10 KHz Acceleration,1,*Bridle5,uBridge
6,87e2cf7f-2483-4336-9c12-d3396f3b4e62,RMS,KBW,,Bridle 5,,Bridle 5.1,,Motor,, RMS,NDE,Horizontal,Ch01 10 KHz Acceleration,1,*Bridle5,uBridge
7,b5ddc880-67ef-4c65-a5ea-50a232e4b197,FFT Ovr (0  to 1000 Hz) g PS (W:0.8 A:1.2),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g RMS,DE,Horizontal,Ch02 1000 Hz Enveloped,2,*Bridle5,uBridge
8,d45419c3-6f5e-4f8a-93ee-12bfc7978adc,Acc. FFT RMS (0  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g RMS,NDE,Horizontal,Ch01 1000 Hz Enveloped,1,*Bridle5,uBridge
9,889d6168-0bd3-47d8-ba7a-dbd9dd501520,Acc. FFT RMS (0  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,g RMS,NDE,Horizontal,Ch01 1000 Hz Enveloped,1,*Bridle5,uBridge
10,324e4163-9fbe-453b-a42d-98fa92e87166,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s RMS,DE,Horizontal,Ch02 1000 Hz Velocity,2,*Bridle5,uBridge
11,626b527e-4149-4111-8a59-d119261b380c,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s rms,DE,Horizontal,Ch02 1000 Hz Velocity,2,*Bridle5,uBridge
12,1b2ae741-726b-4ebe-a6bb-5589d452242f,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s RMS,DE,Axial,Ch03 1000 Hz Velocity,3,*Bridle5,uBridge
13,1845a7e9-70e6-48e1-8d47-7e1c144128a3,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s rms,DE,Axial,Ch03 1000 Hz Velocity,3,*Bridle5,uBridge
14,5540b903-470f-486b-a234-75079b0f6688,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s RMS,NDE,Horizontal,Ch01 1000 Hz Velocity,1,*Bridle5,uBridge
15,e64d8baa-b0b2-4f7d-8a4c-b616576cc3f6,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Motor,,mm/s rms,NDE,Horizontal,Ch01 1000 Hz Velocity,1,*Bridle5,uBridge
16,33732a18-ccad-49fb-8a7a-3dadf412567c,Acc. FFT RMS (1  - 10 KHz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,,Horizontal,Ch04 10 KHz Acceleration,4,*Bridle5,uBridge
17,9b7839b5-57c7-4717-998f-04563388d0ec,"Mag, Acc. FFT Mag (4  - 10 KHz) [Mag]",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g pk,,Horizontal,Ch04 10 KHz Acceleration,4,*Bridle5,uBridge
18,e7f62318-773c-42cf-8b38-695028204f8c,"RMS, Acc. Wave RMS  [RMS]",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,, RMS,,Horizontal,Ch04 10 KHz Acceleration,4,*Bridle5,uBridge
19,a858b47f-a222-4130-9c15-f313a21d313c,Acc. FFT RMS (1  - 10 KHz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,DE,Horizontal,Ch05 10 KHz Acceleration,5,*Bridle5,uBridge
20,06972172-f8fb-4888-9c6d-4154bc0cd239,"Mag, Acc. FFT Mag (4  - 10 KHz) [Mag]",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g pk,DE,Horizontal,Ch05 10 KHz Acceleration,5,*Bridle5,uBridge
21,6898b1f7-6242-45f5-9e34-86841921d4f5,"RMS, Acc. Wave RMS  [RMS]",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,, RMS,DE,Horizontal,Ch05 10 KHz Acceleration,5,*Bridle5,uBridge
22,3741f345-bb69-4c40-b956-58ade9cd985e,Acc. FFT RMS (0  - 500 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,,Horizontal,Ch04 500 Hz Enveloped,4,*Bridle5,uBridge
23,14cb820a-c01b-4bdc-b2b1-5c2e8051e661,Acc. FFT RMS (0  - 500 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,,Horizontal,Ch04 500 Hz Enveloped,4,*Bridle5,uBridge
24,1d790693-3cbe-4f7d-a528-48948c27448c,Acc. FFT RMS (0  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,DE,Horizontal,Ch05 1000 Hz Enveloped,5,*Bridle5,uBridge
25,90fc9a3d-8622-4687-ab2b-dd53094c5b4e,Acc. FFT RMS (0  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,g RMS,DE,Horizontal,Ch05 1000 Hz Enveloped,5,*Bridle5,uBridge
26,09b2b3af-d5b7-4807-a83f-3b95f0fae371,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,,Horizontal,Ch04 1000 Hz Velocity,4,*Bridle5,uBridge
27,3cfaa37a-b32d-4e8c-8fab-ca525c4a9148,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s rms,,Horizontal,Ch04 1000 Hz Velocity,4,*Bridle5,uBridge
28,71be775b-795a-4cbe-b061-fdafa11514c0,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,DE,Horizontal,Ch05 1000 Hz Velocity,5,*Bridle5,uBridge
29,4dd0b234-d5ba-423e-aba2-e906d9891708,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s rms,DE,Horizontal,Ch05 1000 Hz Velocity,5,*Bridle5,uBridge
30,d61bcf1f-94ef-4996-ac5e-19e67b229e6e,Velocity FFT RMS (1 -200 Hz) (W:1.5 A:1.8),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,,Horizontal,Ch04 200 Hz Velocity,4,*Bridle5,uBridge
31,480457a4-6fa3-482a-bcbe-1f3d8fba597b,Vel. FFT RMS (1  - 200 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,DE,Horizontal,Ch05 200 Hz Velocity,5,*Bridle5,uBridge
32,1a7c3cf5-e2bd-4924-af5d-61677b83da8e,Vel. FFT RMS (1  - 200 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,DE,Horizontal,Ch05 200 Hz Velocity,5,*Bridle5,uBridge
33,1f7819d9-cf70-46f2-bcf9-2f5ea023abc8,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s RMS,,Axial,Ch06 1000 Hz Velocity,6,*Bridle5,uBridge
34,728b0eb5-b336-4f2a-8239-ed03a545522e,"ISO, Velocity FFT RMS (10 -1000 Hz) (W:4.5 A:7.1)",KBW,,Bridle 5,,Bridle 5.1,,Tandwielkast,,mm/s rms,,Axial,Ch06 1000 Hz Velocity,6,*Bridle5,uBridge
35,091fd075-aef5-45b3-b492-119d1755a29b,Acc. FFT RMS (4  - 10 KHz),KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,g RMS,DE,Horizontal,Ch07 10 KHz Acceleration,7,*Bridle5,uBridge
36,68c49fc3-056d-496a-951c-b3c9bc6f91e8,"Mag, Acc. FFT Mag (4  - 10 KHz) [Mag]",KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,g pk,DE,Horizontal,Ch07 10 KHz Acceleration,7,*Bridle5,uBridge
37,84eef3d8-69b4-47cd-9475-873b9aa4fff9,"RMS, Acc. Wave RMS  [RMS]",KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,, RMS,DE,Horizontal,Ch07 10 KHz Acceleration,7,*Bridle5,uBridge
38,eeafab31-58cc-4396-a79e-62490d8c0d41,Acc. FFT RMS (0  - 500 Hz),KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,g RMS,DE,Horizontal,Ch07 500 Hz Enveloped,7,*Bridle5,uBridge
39,21f99712-91d0-4d0e-815c-52139e2af202,Acc. FFT RMS (0  - 500 Hz),KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,g RMS,DE,Horizontal,Ch07 500 Hz Enveloped,7,*Bridle5,uBridge
40,6b5214cd-fa8d-4f09-ac06-f03205284143,Vel. FFT RMS (10  - 1000 Hz),KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,mm/s RMS,DE,Horizontal,Ch07 1000 Hz Velocity,7,*Bridle5,uBridge
41,6226222a-d478-41be-9e6c-47f961d14a65,"ISO, Vel. FFT RMS (10  - 1000 Hz) [ISO]",KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,mm/s rms,DE,Horizontal,Ch07 1000 Hz Velocity,7,*Bridle5,uBridge
42,bc672929-752c-4295-8c40-cfa880dc731b,Acc. FFT RMS (4  - 10 KHz),KBW,,Bridle 5,,Bridle 5.1,,Bridlerol,,g RMS,NDE,Horizontal,Ch08 10 KHz Acceleration,8,*Bridle5,uBridge
